MJD        Tel      Filt VMag   ABMag   Emag Ref
58305.2090 MLO      B     17.21  17.07  0.03 
58305.2113 MLO      V     17.26  17.25  0.03 
58305.2926 P60      r     17.33  17.33  0.03 
58305.2934 P60      r     17.29  17.29  0.03 
58305.3238 P60      r     17.27  17.27  0.03 
58305.3246 P60      r     17.27  17.27  0.03 
58305.3268 RATIR    g     17.15  17.15  0.03 
58305.3356 RATIR    i     17.30  17.30  0.03 
58305.3357 RATIR    r     17.31  17.31  0.03 
58305.6355 UVOT     UVW1  15.79  17.32  0.07 
58305.6369 UVOT     UVU   16.02  17.05  0.07 
58305.6397 UVOT     UVW2  15.85  17.69  0.08 
58305.8862 IOI      H     16.16  17.54  0.03 
58305.9010 IOO      z     17.29  17.27  0.03 
58305.9016 IOO      i     17.35  17.35  0.03 
58305.9023 IOO      r     17.36  17.36  0.03 
58305.9029 IOO      g     17.19  17.19  0.03 
58305.9038 IOO      u     17.08  17.13  0.03 
58305.9048 IOO      V     17.28  17.26  0.03 
58305.9054 IOO      B     17.25  17.11  0.03 
58306.1897 P48      r     17.44  17.44  0.05 ZTF
58306.1943 KPED     g     17.26  17.26  0.03 
58306.1960 KPED     r     17.43  17.43  0.03 
58306.2184 P60      r     17.41  17.41  0.03 
58306.2298 UVOT     UVM2  16.01  17.70  0.08 
58306.2471 UVOT     UVW2  16.10  17.94  0.09 
58306.2488 P60      r     17.41  17.41  0.03 
58306.2496 P60      r     17.34  17.34  0.03 
58306.2667 RATIR    g     17.26  17.26  0.03 
58306.2757 RATIR    r     17.43  17.43  0.03 
58306.2759 RATIR    i     17.43  17.43  0.03 
58306.2800 P60      r     17.42  17.42  0.03 
58306.2808 P60      r     17.40  17.40  0.03 
58306.3111 P60      r     17.39  17.39  0.03 
58306.3120 P60      r     17.46  17.46  0.03 
58306.3423 P60      r     17.37  17.37  0.03 
58306.3431 P60      r     17.36  17.36  0.03 
58306.3475 RATIR    i     17.47  17.47  0.03 
58306.3846 RATIR    g     17.25  17.25  0.03 
58306.3850 RATIR    r     17.43  17.43  0.03 
58306.6311 HFOSC    R     17.35  17.52  0.03 
58306.6347 HFOSC    I     16.98  17.42  0.03 
58306.6482 HFOSC    V     17.43  17.41  0.03 
58306.6528 HFOSC    B     17.37  17.23  0.03 
58306.6582 HFOSC    U     16.44  17.13  0.03 
58306.7705 UVOT     UVW1  16.04  17.56  0.08 
58306.7721 UVOT     UVU   16.23  17.25  0.08 
58306.7756 UVOT     UVW2  16.08  17.92  0.09 
58306.7799 UVOT     UVM2  16.28  17.97  0.09 
58306.8871 IOI      H     16.41  17.79  0.03 
58306.9012 IOO      z     17.40  17.38  0.03 
58306.9018 IOO      i     17.51  17.51  0.03 
58306.9024 IOO      r     17.52  17.52  0.03 
58306.9030 IOO      g     17.33  17.33  0.03 
58306.9040 IOO      u     17.24  17.29  0.03 
58306.9049 IOO      V     17.46  17.44  0.03 
58306.9056 IOO      B     17.42  17.28  0.03 
58307.1594 UVOT     UVW1  16.15  17.67  0.08 
58307.1605 UVOT     UVW1  16.16  17.68  0.08 
58307.1614 UVOT     UVU   16.24  17.27  0.08 
58307.1619 UVOT     UVU   16.24  17.27  0.08 
58307.1634 UVOT     UVW2  16.22  18.06  0.14 
58307.1654 UVOT     UVW2  16.21  18.05  0.09 
58307.1682 UVOT     UVM2  16.22  17.91  0.09 
58307.1699 UVOT     UVM2  16.22  17.91  0.09 
58307.1900 P60      r     17.51  17.51  0.03 
58307.2217 P60      r     17.56  17.56  0.03 
58307.2238 P60      g     17.36  17.36  0.03 
58307.2258 P60      i     17.55  17.55  0.03 
58307.2305 P60      r     17.54  17.54  0.03 
58307.2494 P60      r     17.55  17.55  0.03 
58307.6653 SLT      B     17.52  17.38  0.03 
58307.6706 SLT      R     17.42  17.59  0.03 
58307.6729 SLT      r     17.70  17.70  0.07 
58307.6752 SLT      i     17.64  17.64  0.04 
58307.6960 UVOT     UVW1  16.19  17.71  0.07 
58307.7129 UVOT     UVW2  16.33  18.17  0.10 
58307.8887 IOI      H     16.54  17.92  0.06 
58307.9182 IOO      u     17.40  17.45  0.03 
58307.9192 IOO      g     17.47  17.47  0.03 
58307.9199 IOO      r     17.63  17.63  0.03 
58307.9206 IOO      i     17.65  17.65  0.03 
58307.9213 IOO      z     17.53  17.51  0.03 
58307.9220 IOO      B     17.56  17.42  0.03 
58307.9227 IOO      V     17.57  17.55  0.03 
58308.1544 UVOT     UVW1  16.25  17.77  0.08 
58308.1555 UVOT     UVW1  16.25  17.77  0.08 
58308.1565 UVOT     UVU   16.42  17.45  0.08 
58308.1571 UVOT     UVU   16.42  17.45  0.08 
58308.1587 UVOT     UVW2  16.45  18.29  0.09 
58308.1608 UVOT     UVW2  16.45  18.29  0.09 
58308.1640 UVOT     UVM2  16.36  18.05  0.09 
58308.1657 UVOT     UVM2  16.36  18.05  0.09 
58308.3218 RATIR    i     17.69  17.69  0.03 
58308.3248 RATIR    g     17.53  17.53  0.03 
58308.3293 RATIR    r     17.72  17.72  0.03 
58308.6181 HFOSC    R     17.60  17.77  0.03 
58308.6244 HFOSC    I     17.24  17.68  0.03 
58308.6275 HFOSC    V     17.69  17.67  0.03 
58308.6316 HFOSC    B     17.60  17.46  0.03 
58308.6372 HFOSC    U     16.63  17.32  0.03 
58308.7631 UVOT     UVU   16.45  17.47  0.06 
58308.7789 UVOT     UVW2  16.38  18.21  0.10 
58308.8877 IOO      u     17.42  17.47  0.03 
58308.8887 IOO      g     17.55  17.55  0.03 
58308.8894 IOO      r     17.75  17.75  0.03 
58308.8901 IOO      i     17.72  17.72  0.03 
58308.8907 IOO      z     17.60  17.58  0.03 
58308.8914 IOO      B     17.62  17.48  0.03 
58308.8921 IOO      V     17.68  17.66  0.03 
58309.2251 UVOT     UVW1  16.19  17.71  0.08 
58309.2266 UVOT     UVU   16.59  17.62  0.08 
58309.2300 UVOT     UVW2  16.38  18.21  0.09 
58309.2345 UVOT     UVM2  16.43  18.12  0.09 
58309.9148 IOO      z     17.70  17.68  0.03 
58309.9156 IOO      i     17.83  17.83  0.03 
58309.9164 IOO      r     17.84  17.84  0.03 
58309.9173 IOO      g     17.67  17.67  0.03 
58309.9185 IOO      u     17.63  17.68  0.03 
58309.9198 IOO      B     17.76  17.62  0.03 
58309.9206 IOO      V     17.75  17.73  0.03 
58310.2153 UVOT     UVW1  16.39  17.92  0.09 
58310.2168 UVOT     UVU   16.59  17.62  0.08 
58310.2202 UVOT     UVW2  16.61  18.45  0.10 
58310.2244 UVOT     UVM2  16.58  18.27  0.10 
58310.6845 UVOT     UVM2  16.90  18.59  0.11 
58310.7014 UVOT     UVW1  16.80  18.32  0.12 
58310.9035 IOI      H     16.76  18.14  0.03 
58310.9090 IOO      z     17.90  17.88  0.03 
58310.9099 IOO      i     18.02  18.02  0.03 
58310.9107 IOO      r     18.10  18.10  0.03 
58310.9116 IOO      g     17.90  17.90  0.03 
58310.9128 IOO      u     17.84  17.89  0.05 
58310.9140 IOO      B     18.00  17.86  0.03 
58310.9148 IOO      V     18.04  18.02  0.03 
58311.1564 UVOT     UVW1  16.87  18.39  0.11 
58311.1579 UVOT     UVU   16.81  17.83  0.10 
58311.1613 UVOT     UVW2  17.04  18.88  0.12 
58311.1658 UVOT     UVM2  16.87  18.57  0.11 
58311.1896 P48      r     18.10  18.10  0.07 ZTF
58311.3566 RATIR    i     18.13  18.13  0.03 
58311.3567 RATIR    g     17.98  17.98  0.03 
58311.3574 RATIR    r     18.08  18.08  0.03 
58311.7563 UVOT     UVW1  16.73  18.25  0.11 
58311.7577 UVOT     UVU   16.98  18.00  0.10 
58311.7608 UVOT     UVW2  16.90  18.74  0.11 
58311.7651 UVOT     UVM2  17.03  18.72  0.11 
58311.9032 IOO      z     17.90  17.88  0.03 
58311.9041 IOO      i     18.15  18.15  0.03 
58311.9049 IOO      r     18.17  18.17  0.03 
58311.9058 IOO      g     18.03  18.03  0.03 
58311.9070 IOO      u     17.97  18.02  0.03 
58311.9083 IOO      B     18.07  17.93  0.03 
58311.9091 IOO      V     18.14  18.12  0.03 
58311.9229 IOI      H     16.73  18.11  0.05 
58312.2887 RATIR    i     18.07  18.07  0.03 
58312.3649 RATIR    g     18.07  18.07  0.03 
58312.3653 RATIR    r     18.14  18.14  0.03 
58312.3813 RATIR    i     18.10  18.10  0.08 
58312.4158 UVOT     UVW1  16.93  18.45  0.10 
58312.4169 UVOT     UVU   16.98  18.00  0.09 
58312.4210 UVOT     UVW2  17.04  18.88  0.11 
58312.4248 UVOT     UVM2  16.98  18.67  0.10 
58312.9042 IOI      H     16.69  18.07  0.05 
58312.9095 IOO      z     17.90  17.88  0.03 
58312.9104 IOO      i     18.08  18.08  0.03 
58312.9112 IOO      r     18.19  18.19  0.03 
58312.9121 IOO      g     18.03  18.03  0.03 
58312.9133 IOO      u     18.01  18.06  0.03 
58312.9145 IOO      B     18.13  17.99  0.03 
58312.9153 IOO      V     18.13  18.11  0.03 
58313.1991 RATIR    r     18.17  18.17  0.04 
58313.2401 MLO      B     18.13  17.99  0.04 
58313.2408 RATIR    i     18.13  18.13  0.03 
58313.2409 RATIR    g     18.05  18.05  0.03 
58313.2531 MLO      V     18.14  18.13  0.03 
58313.2573 MLO      R     18.03  18.20  0.03 
58313.2601 MLO      I     17.68  18.11  0.03 
58313.2633 MLO      U     17.22  17.91  0.03 
58313.3201 RATIR    r     18.16  18.16  0.03 
58313.3314 RATIR    i     18.10  18.10  0.03 
58313.3416 RATIR    g     18.04  18.04  0.03 
58313.9127 IOI      H     16.66  18.04  0.05 
58313.9183 IOO      z     17.86  17.84  0.03 
58313.9192 IOO      i     18.13  18.13  0.03 
58313.9200 IOO      r     18.22  18.22  0.03 
58313.9209 IOO      g     18.11  18.11  0.03 
58313.9221 IOO      u     18.12  18.17  0.03 
58313.9233 IOO      B     18.18  18.04  0.03 
58313.9242 IOO      V     18.17  18.15  0.03 
58314.7506 UVOT     UVW1  17.12  18.64  0.11 
58314.7512 UVOT     UVU   17.22  18.24  0.11 
58314.7537 UVOT     UVW2  17.24  19.08  0.14 
58314.7568 UVOT     UVM2  17.51  19.20  0.18 
58314.9175 IOI      H     17.05  18.43  0.03 
58314.9319 IOO      z     18.03  18.01  0.03 
58314.9327 IOO      i     18.30  18.30  0.03 
58314.9336 IOO      r     18.35  18.35  0.03 
58314.9344 IOO      g     18.23  18.23  0.03 
58314.9356 IOO      u     18.22  18.27  0.03 
58314.9369 IOO      B     18.36  18.22  0.03 
58314.9377 IOO      V     18.35  18.33  0.03 
58315.6661 UVOT     UVW1  17.16  18.68  0.14 
58315.8943 IOI      H     17.17  18.55  0.08 
58315.9366 IOO      z     18.31  18.29  0.07 
58315.9375 IOO      i     18.50  18.50  0.03 
58315.9384 IOO      r     18.52  18.52  0.03 
58315.9392 IOO      g     18.38  18.38  0.03 
58315.9405 IOO      u     18.37  18.42  0.05 
58315.9417 IOO      B     18.48  18.34  0.03 
58315.9425 IOO      V     18.51  18.49  0.03 
58316.1669 RATIR    i     18.49  18.49  0.03 
58316.1670 RATIR    g     18.41  18.41  0.03 
58316.1674 RATIR    r     18.61  18.61  0.04 
58316.5242 UVOT     UVW1  17.28  18.80  0.11 
58316.5264 UVOT     UVU   17.35  18.37  0.12 
58316.5314 UVOT     UVW2  17.38  19.21  0.12 
58316.5376 UVOT     UVM2  17.57  19.26  0.14 
58316.8993 IOO      z     18.31  18.28  0.03 
58316.9009 IOO      i     18.56  18.56  0.03 
58316.9020 IOO      r     18.65  18.65  0.03 
58316.9031 IOO      g     18.50  18.50  0.03 
58316.9050 IOO      u     18.39  18.44  0.03 
58316.9067 IOO      B     18.59  18.45  0.03 
58316.9075 IOO      V     18.63  18.61  0.03 
58316.9279 IOI      H     17.39  18.77  0.08 
58317.9005 IOI      H     17.28  18.66  0.12 
58317.9509 IOO      z     18.46  18.43  0.03 
58317.9524 IOO      i     18.57  18.57  0.03 
58317.9535 IOO      r     18.69  18.69  0.03 
58317.9546 IOO      g     18.57  18.57  0.03 
58317.9558 IOO      u     18.41  18.46  0.03 
58317.9582 IOO      B     18.68  18.54  0.03 
58317.9591 IOO      V     18.67  18.65  0.04 
58318.9173 IOO      g     18.79  18.79  0.03 
58318.9184 IOO      r     18.82  18.82  0.03 
58318.9195 IOO      B     18.83  18.69  0.03 
58318.9206 IOO      z     18.46  18.44  0.04 
58318.9216 IOO      u     18.62  18.67  0.06 
58318.9263 UVOT     UVW1  17.41  18.93  0.13 
58318.9284 UVOT     UVU   17.75  18.77  0.15 
58318.9330 UVOT     UVW2  17.64  19.47  0.15 
58318.9389 UVOT     UVM2  17.64  19.33  0.15 
58319.3325 UVOT     UVW1  17.67  19.19  0.12 
58320.2425 UVOT     UVW1  17.56  19.09  0.14 
58320.2449 UVOT     UVU   17.85  18.87  0.14 
58320.2504 UVOT     UVW2  17.76  19.59  0.15 
58320.2575 UVOT     UVM2  17.84  19.53  0.16 
58320.9085 IOI      H     17.61  18.99  0.11 
58321.2115 P48      r     19.08  19.08  0.18 ZTF
58321.9086 IOI      H     17.71  19.09  0.08 
58321.9324 IOO      z     18.69  18.67  0.04 
58321.9339 IOO      i     19.01  19.01  0.04 
58321.9350 IOO      r     19.10  19.10  0.03 
58321.9361 IOO      g     19.00  19.00  0.03 
58321.9380 IOO      u     18.92  18.97  0.05 
58321.9397 IOO      B     19.02  18.88  0.03 
58321.9405 IOO      V     19.06  19.04  0.05 
58322.1578 RATIR    i     19.03  19.03  0.03 
58322.1578 RATIR    g     18.97  18.97  0.05 
58322.1582 RATIR    r     19.10  19.10  0.05 
58322.2224 WIRC     J     18.08  18.98  0.03 
58322.2303 MLO      U     18.14  18.83  0.08 
58322.2337 MLO      R     18.96  19.13  0.04 
58322.2354 MLO      B     19.04  18.90  0.03 
58322.2363 UVOT     UVW1  17.68  19.20  0.14 
58322.2385 UVOT     UVU   18.09  19.12  0.18 
58322.2385 MLO      V     19.13  19.12  0.04 
58322.2394 WIRC     H     17.81  19.19  0.03 
58322.2436 UVOT     UVW2  17.83  19.66  0.16 
58322.2438 MLO      I     18.64  19.08  0.04 
58322.2501 UVOT     UVM2  17.75  19.45  0.15 
58322.2565 WIRC     Ks    17.09  18.93  0.03 
58322.8825 IOO      z     18.74  18.71  0.04 
58322.8846 IOO      i     19.01  19.01  0.04 
58322.8860 IOO      r     19.16  19.16  0.04 
58322.8874 IOO      g     19.08  19.08  0.03 
58322.8895 IOO      u     19.04  19.09  0.07 
58322.8916 IOO      B     19.15  19.01  0.03 
58322.8929 IOO      V     19.21  19.19  0.04 
58322.9345 IOI      H     17.71  19.09  0.06 
58323.1569 RATIR    i     19.06  19.06  0.04 
58323.1569 RATIR    g     19.13  19.13  0.05 
58323.1575 RATIR    r     19.27  19.27  0.07 
58323.8964 IOO      z     18.85  18.82  0.05 
58323.8967 UVOT     UVW1  17.71  19.23  0.17 
58323.8981 UVOT     UVU   18.05  19.08  0.20 
58323.8985 IOO      i     19.12  19.12  0.05 
58323.8999 IOO      r     19.32  19.32  0.04 
58323.9013 IOO      g     19.18  19.18  0.03 
58323.9014 UVOT     UVW2  17.88  19.72  0.18 
58323.9034 IOO      u     19.07  19.12  0.05 
58323.9054 IOO      B     19.33  19.19  0.03 
58323.9055 UVOT     UVM2  17.87  19.56  0.18 
58323.9068 IOO      V     19.36  19.34  0.05 
58323.9121 IOI      H     17.84  19.22  0.08 
58324.1610 UVOT     UVW1  17.81  19.33  0.16 
58324.1618 UVOT     UVU   18.63  19.65  0.26 
58324.1653 UVOT     UVW2  18.18  20.02  0.19 
58324.1682 UVOT     UVM2  18.18  19.87  0.20 
58324.1762 RATIR    g     19.18  19.18  0.07 
58324.1764 RATIR    i     19.33  19.33  0.07 
58324.1767 RATIR    r     19.23  19.23  0.07 
58324.1983 MLO      B     19.25  19.11  0.04 
58324.2034 MLO      V     19.31  19.29  0.05 
58324.2045 MLO      U     18.25  18.94  0.03 
58324.2076 MLO      R     19.27  19.44  0.04 
58324.8885 IOO      z     19.01  18.98  0.05 
58324.8906 IOO      i     19.42  19.42  0.05 
58324.8920 IOO      r     19.40  19.40  0.05 
58324.8934 IOO      g     19.37  19.37  0.05 
58324.8955 IOO      u     19.20  19.25  0.08 
58324.8975 IOO      B     19.34  19.20  0.05 
58324.8989 IOO      V     19.46  19.44  0.06 
58324.9044 IOI      H     17.81  19.19  0.09 
58325.3575 UVOT     UVW1  18.12  19.65  0.19 
58325.3597 UVOT     UVU   18.34  19.37  0.20 
58325.3648 UVOT     UVW2  18.16  20.00  0.19 
58325.8804 IOO      z     18.95  18.92  0.07 
58325.8831 IOO      i     19.40  19.40  0.04 
58325.8858 IOO      r     19.50  19.50  0.04 
58325.8885 IOO      g     19.39  19.39  0.04 
58325.8912 IOO      u     19.35  19.40  0.10 
58325.8939 IOO      B     19.42  19.28  0.04 
58325.8959 IOO      V     19.46  19.44  0.05 
58326.1669 UVOT     UVW1  18.18  19.71  0.21 
58326.1686 UVOT     UVU   18.28  19.30  0.21 
58326.1726 UVOT     UVW2  18.18  20.02  0.21 
58326.2007 MLO      U     18.43  19.12  0.10 
58326.2075 MLO      B     19.46  19.32  0.04 
58326.2120 MLO      V     19.56  19.55  0.06 
58326.2165 MLO      R     19.39  19.56  0.04 
58326.9201 IOO      z     19.21  19.19  0.05 
58326.9228 IOO      i     19.63  19.63  0.07 
58326.9255 IOO      r     19.59  19.59  0.06 
58326.9282 IOO      g     19.49  19.49  0.05 
58326.9309 IOO      u     19.37  19.42  0.10 
58326.9336 IOO      B     19.50  19.36  0.10 
58326.9362 IOO      V     19.68  19.67  0.08 
58327.1501 UVOT     UVW1  18.27  19.79  0.20 
58327.1524 UVOT     UVU   18.34  19.37  0.20 
58327.1578 UVOT     UVW2  18.25  20.09  0.20 
58327.1645 UVOT     UVM2  18.33  20.03  0.21 
58327.1782 RATIR    g     19.58  19.58  0.03 
58327.1788 RATIR    r     19.72  19.72  0.03 
58327.1921 RATIR    i     19.71  19.71  0.03 
58327.9091 IOI      H     18.33  19.71  0.22 
58327.9282 IOO      z     19.18  19.16  0.09 
58327.9309 IOO      i     19.57  19.57  0.10 
58327.9330 IOO      r     19.90  19.90  0.10 
58327.9357 IOO      g     19.65  19.65  0.05 
58327.9384 IOO      u     19.52  19.57  0.18 
58327.9411 IOO      B     19.67  19.53  0.04 
58327.9437 IOO      V     19.76  19.75  0.15 
58328.1801 RATIR    g     19.61  19.61  0.03 
58328.1976 RATIR    i     19.82  19.82  0.04 
58328.2085 RATIR    r     19.74  19.74  0.04 
58328.9314 IOO      z     19.27  19.25  0.08 
58328.9341 IOO      i     19.77  19.77  0.08 
58328.9368 IOO      r     19.85  19.85  0.07 
58328.9395 IOO      g     19.66  19.66  0.05 
58328.9422 IOO      u     19.77  19.82  0.11 
58328.9455 IOO      V     19.80  19.78  0.07 
58328.9476 IOO      B     19.71  19.57  0.06 
58329.2095 UVOT     UVW1  18.42  19.94  0.23 
58329.2117 UVOT     UVU   19.01  20.03  0.32 
58329.2168 UVOT     UVW2  18.54  20.37  0.25 
58329.2234 UVOT     UVM2  18.82  20.52  0.29 
58329.9098 IOI      H     18.05  19.43  0.11 
58329.9305 IOO      z     19.29  19.27  0.05 
58329.9332 IOO      i     19.74  19.74  0.06 
58329.9372 IOO      r     19.91  19.91  0.06 
58329.9399 IOO      g     19.78  19.78  0.03 
58329.9426 IOO      u     19.49  19.54  0.06 
58329.9453 IOO      V     19.86  19.84  0.07 
58329.9467 IOO      B     19.79  19.65  0.05 
58330.8686 UVOT     UVW1  18.22  19.75  0.21 
58330.8706 UVOT     UVU   18.55  19.58  0.24 
58330.8753 UVOT     UVW2  18.54  20.37  0.25 
58330.8813 UVOT     UVM2  18.99  20.68  0.34 
58330.8983 IOO      z     19.33  19.31  0.05 
58330.9010 IOO      i     19.89  19.89  0.05 
58330.9031 IOO      r     19.79  19.79  0.03 
58330.9070 IOO      g     19.74  19.74  0.03 
58330.9091 IOO      u     19.62  19.67  0.11 
58330.9118 IOO      B     19.75  19.61  0.09 
58330.9144 IOO      V     19.95  19.93  0.06 
58331.9313 UVOT     UVW1  19.21  20.73  0.39 
58331.9335 UVOT     UVU   18.68  19.71  0.26 
58331.9387 UVOT     UVW2  18.59  20.43  0.26 
58331.9452 UVOT     UVM2  18.51  20.20  0.25 
58332.2630 UVOT     UVW1  18.69  20.21  0.29 
58332.2638 UVOT     UVU   19.37  20.39  0.45 
58332.2672 UVOT     UVW2  19.16  20.99  0.39 
58332.2701 UVOT     UVM2  18.67  20.36  0.27 
58333.3993 UVOT     UVW1  19.07  20.59  0.45 
58333.4002 UVOT     UVU   18.79  19.82  0.35 
58333.4025 UVOT     UVW2  18.59  20.43  0.31 
58333.4053 UVOT     UVM2  18.67  20.36  0.34 
58334.8787 IOO      z     19.81  19.79  0.13 
58334.8826 IOO      i     20.23  20.23  0.07 
58334.8866 IOO      r     20.26  20.26  0.06 
58334.8906 IOO      g     20.17  20.17  0.04 
58334.8946 IOO      u     19.86  19.91  0.13 
58334.8979 IOO      B     20.16  20.02  0.05 
58334.9005 IOO      V     20.40  20.39  0.06 
58335.1863 UVOT     UVW1  18.82  20.35  0.27 
58335.1866 UVOT     UVU   19.41  20.44  0.42 
58335.1916 UVOT     UVW2  18.98  20.81  0.31 
58335.1936 UVOT     UVM2  18.82  20.52  0.27 
58337.4438 UVOT     UVU   19.86  20.89  0.54 
58337.4441 UVOT     UVW1  19.14  20.66  0.33 
58337.4488 UVOT     UVW2  19.24  21.07  0.36 
58337.4499 UVOT     UVM2  19.28  20.97  0.34 
58339.8960 IOO      z     20.05  20.02  0.11 
58339.8990 IOO      i     20.86  20.86  0.11 
58339.9019 IOO      r     20.85  20.85  0.08 
58339.9048 IOO      g     20.69  20.69  0.06 
58339.9080 IOO      u     20.26  20.31  0.23 
58340.7028 UVOT     UVW1  19.49  21.01  0.46 
58340.7044 UVOT     UVU   19.11  20.13  0.34 
58340.7091 UVOT     UVW2  19.45  21.29  0.44 
58340.7143 UVOT     UVM2  20.00  21.70  0.62 
58345.2141 UVOT     UVU   20.46  21.48  0.85 
58345.2144 UVOT     UVW1  19.44  20.97  0.45 
58345.2182 UVOT     UVW2  20.37  22.20  0.79 
58345.2198 UVOT     UVM2  19.64  21.33  0.43 
58346.9132 IOO      z     20.62  20.59  0.18 
58346.9161 IOO      i     21.16  21.16  0.14 
58346.9190 IOO      r     21.07  21.07  0.09 
58346.9219 IOO      g     21.16  21.16  0.12 
58346.9251 IOO      u     20.77  20.82  0.13 
58354.4614 UVOT     UVW2  21.15  22.98  1.11 
58354.4632 UVOT     UVM2  21.21  22.90  1.00 
58354.4656 UVOT     UVW1  20.23  21.75  0.55 
58364.8938 IOO      r     21.99  21.99  0.11 
58366.8992 IOO      r     22.30  22.30  0.20 
58366.9047 IOO      g     22.67  22.67  0.16 
58366.9107 IOO      z     21.92  21.90  0.40 
